_id,index,stageIds,gameId,createdAt,data.target,data.targetNum,data.repNum,data.trialNum,data.chat,data.countCorrect,data.speaker,data.submitted,data.player_TmGhWCgqKsPPuwW7m_response,data.player_TmGhWCgqKsPPuwW7m_correct,data.player_TmGhWCgqKsPPuwW7m_time,data.player_XzSxf5dbkTQbAySyn_response,data.player_XzSxf5dbkTQbAySyn_correct,data.player_XzSxf5dbkTQbAySyn_time,data.player_Y4gBWfBNJrF5xNnYa_response,data.player_Y4gBWfBNJrF5xNnYa_correct,data.player_Y4gBWfBNJrF5xNnYa_time,data.player_MpfyeqPHi6LGanyZE_response,data.player_MpfyeqPHi6LGanyZE_correct,data.player_MpfyeqPHi6LGanyZE_time,data.player_XDYMpEW48uEDY2AKT_response,data.player_XDYMpEW48uEDY2AKT_correct,data.player_XDYMpEW48uEDY2AKT_time,data.player_zsCocJ4gY757WdtRm_response,data.player_zsCocJ4gY757WdtRm_correct,data.player_zsCocJ4gY757WdtRm_time,data.player_fpQSfDkFQquyZPeeY_response,data.player_fpQSfDkFQquyZPeeY_correct,data.player_fpQSfDkFQquyZPeeY_time,data.player_g47HoPgY7BZ5yiSNH_response,data.player_g47HoPgY7BZ5yiSNH_correct,data.player_g47HoPgY7BZ5yiSNH_time,data.player_vGWQMSpu3DC2q39SP_response,data.player_vGWQMSpu3DC2q39SP_correct,data.player_vGWQMSpu3DC2q39SP_time,data.player_TaXnEbLjRk5BHEtKS_response,data.player_TaXnEbLjRk5BHEtKS_correct,data.player_TaXnEbLjRk5BHEtKS_time,data.player_hPCE2W2nsW737JfLM_response,data.player_hPCE2W2nsW737JfLM_correct,data.player_hPCE2W2nsW737JfLM_time,data.player_unq6bmWt24ozszLHq_response,data.player_unq6bmWt24ozszLHq_correct,data.player_unq6bmWt24ozszLHq_time,data.player_NDxDF3jtu4GsxE6Ka_response,data.player_NDxDF3jtu4GsxE6Ka_correct,data.player_NDxDF3jtu4GsxE6Ka_time,data.player_TcSFd2e7jR4nEmwgk_response,data.player_TcSFd2e7jR4nEmwgk_correct,data.player_TcSFd2e7jR4nEmwgk_time,data.player_qFRcN5H2Wh32P5CXo_response,data.player_qFRcN5H2Wh32P5CXo_correct,data.player_qFRcN5H2Wh32P5CXo_time,data.player_XfPenstnRyoSskufp_response,data.player_XfPenstnRyoSskufp_correct,data.player_XfPenstnRyoSskufp_time,data.player_fSMHCA2X7sKM5kb39_response,data.player_fSMHCA2X7sKM5kb39_correct,data.player_fSMHCA2X7sKM5kb39_time,data.player_whYPsCAALJKsn3n2g_response,data.player_whYPsCAALJKsn3n2g_correct,data.player_whYPsCAALJKsn3n2g_time
36TFbcP4F8J6EWyqi,10,"syFi8SkvgmBYdoRtg,iag93cYiE82eBhygm",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_H.png,10,0,10,"{""text"":""just a head and body with small piece of leg sticking out to the right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_H.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_H.png,true,29205,false,false,false,/experiment/tangram_H.png,true,26692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hSAKgnzWvA9SqnuRn,11,"SofM7x499LGhe5dYq,ZRLrFxyGCLMYfaurP",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_B.png,11,0,11,"{""text"":""ok so there is a foot and an arm out to theleft, and then a trianglular detached looking arm out to the right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""},{""text"":""looks like they are kneeling"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_B.png,true,89282,false,false,false,/experiment/tangram_B.png,true,41550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoNBL4ZwuqxQRoSCL,12,"sSEuJF24xhPnuRziX,zDRBjpo6gcrGY9BRd",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_L.png,0,1,12,"{""text"":""like our first one, crouching down with arm facing right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""},{""text"":""straight back, knees bent to right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""},{""text"":""no tail pointing up right"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_L.png"",""role"":""listener""},{""text"":""no"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_L.png,true,65079,false,false,false,/experiment/tangram_L.png,true,79430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3vLhjYpyeFscnMur9,13,"jzSiTiX3qRuCHP4LP,EuBTfQa4vY7bsjxYf",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_C.png,1,1,13,"{""text"":""arms up like they're complaining"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_C.png,true,25236,false,false,false,/experiment/tangram_C.png,true,63869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLTk3ySkPGS7HAsfx,14,"JpEc3u8ubSfTiGnSq,CCSE6a6PqsJinxDPJ",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_I.png,2,1,14,"{""text"":""leg sticking out to the right like a figure skater"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_I.png"",""role"":""speaker""},{""text"":""both arms facing left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_I.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_I.png,true,34272,false,false,false,/experiment/tangram_I.png,true,32465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aPJJJDK2h65sdbjcn,15,"dmwtAJ4hSCF9Qj58K,zdPGBpoPLGS9wRgAG",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_G.png,3,1,15,"{""text"":""arm and leg sticking out to right, long robe sticking out to left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""},{""text"":""head tilted to the left"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_G.png"",""role"":""listener""},{""text"":""?"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_G.png"",""role"":""listener""},{""text"":""yeah"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_G.png,true,65088,false,false,false,/experiment/tangram_G.png,true,21045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qXMG5W5KDXsryhSnG,16,"An26q3qQWFGa96sDh,mg8Si5LSGbftQJbJG",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_E.png,4,1,16,"{""text"":""sat down, triangular body, feet pointing right and two things sticking out of head"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_E.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_E.png,true,48958,false,false,false,/experiment/tangram_E.png,true,31508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6NsrGN8Gq5dQcuEWE,17,"7Asx72k5svExkrG3n,sRbiiLRkik58gPNxC",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_B.png,5,1,17,"{""text"":""kneeling down, both arms out in opposite directions, the right arm looks a bit detached"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""},{""text"":""leg sticking out to left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_B.png,true,43873,false,false,false,/experiment/tangram_B.png,true,35606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MdDNJJYpbb9N43PCZ,18,"juePqpKQa9y9Hajkh,nbNi6n8gMMnjwZx4v",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_D.png,6,1,18,"{""text"":""long flat back on right, hand and sleeve sticking out to left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""},{""text"":""bit of foot on left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_D.png,true,50395,false,false,false,/experiment/tangram_D.png,true,29497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8MyTFmXBrQWtRGxhP,19,"EsoLweXKskofz2b4M,CW2BZEuR4jTwzSJcA",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_J.png,7,1,19,"{""text"":""flat back on left, arm sticking out to right, then a foot"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_J.png"",""role"":""speaker""},{""text"":""shorter than the last one"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_J.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_J.png,true,54202,false,false,false,/experiment/tangram_J.png,true,50141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
