_id,name,timeoutType,timeoutInSeconds,timeoutStrategy,timeoutBots,extendCount,createdAt,archivedAt
n9uvnsNmeZMttXfuZ,,lobby,300,fail,,,2022-03-30T19:59:19Z,
E66ycX9bcdzu3A3Hu,,lobby,5,fail,,,2022-07-13T19:16:33Z,
