_id,name,factorIds,createdAt,archivedAt
tWgPYtkKzpG4ZiRkA,6norotest,"sBHdPCoi8dkEsTPef,pWeADdnYht6s2XmXy,STrYPy3iToz6XDo9d,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hS9RswhoNeGgr2gQw",2022-03-30T20:00:37Z,
marqpzptmvhhPe49o,mar30_6noro,"sBHdPCoi8dkEsTPef,pWeADdnYht6s2XmXy,STrYPy3iToz6XDo9d,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hS9RswhoNeGgr2gQw",2022-03-30T20:16:08Z,
dDCcygLh9GaffBvHt,Test,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,8s4mWKpqFF83FP3X6,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-07-13T19:16:33Z,2021-03-31T21:24:06Z
9K6QcispYidaPrnX7,pilot,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,8s4mWKpqFF83FP3X6,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-07-13T19:16:33Z,2021-03-31T20:01:42Z
Stg3ZfAZ27YqEcJMo,Dyad,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-07-13T19:16:33Z,2021-03-31T21:24:07Z
GESPG43iw4T7iSsE9,Quad,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-07-13T19:16:33Z,2021-03-31T21:24:07Z
8EctGwh2cBbCHkXMK,Pair,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2022-07-13T19:16:33Z,2021-05-04T21:26:50Z
LQW5PYwsRgLQ5iZuE,Triad,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2022-07-13T19:16:33Z,2021-05-04T21:26:50Z
QoBuREyBrnm8J7R3o,Four,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2022-07-13T19:16:33Z,2021-05-04T21:26:51Z
4uxPuQXuwJGngJnQ2,pairRotate,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,L7K5DZ4qrCT4jSHxx",2022-07-13T19:16:33Z,2022-07-13T19:16:33Z
5xwgmx3Xnc3kM4XoY,quadRotate,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,L7K5DZ4qrCT4jSHxx",2022-07-13T19:16:33Z,
MLXZLfb24hrg5uvGi,trioRotate,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,L7K5DZ4qrCT4jSHxx",2022-07-13T19:16:33Z,
65uFqD3oedFMdTbQT,test5,"Pcrt2kDc8zeyzPkSF,pWeADdnYht6s2XmXy,LMzjqBSyMLbrryc6X,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,L7K5DZ4qrCT4jSHxx",2022-07-13T19:16:33Z,
