_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.nParticipants,data.tangramCount,data.scoreOption,data.chat,data.pictures,data.timeOut,data.tangramURLs,data.roleList,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.exitTimeoutId,data.exited
Jn9et7qMgfnDDAsoW,,2022-07-13T22:46:44Z,,,ExitSurvey,2022-07-13T23:57:21Z,finished,,,,2022-07-13T22:43:33Z,6,12,matter,anyone,different,0,"/experiment/tangram_J.png,/experiment/tangram_A.png,/experiment/tangram_C.png,/experiment/tangram_E.png,/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_G.png,/experiment/tangram_I.png,/experiment/tangram_D.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_F.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Minu,/avatars/jdenticon/Alaina,#7ACC66,2.656000000000002,listener,/experiment/tangram_E.png,,
YpWHGnXq5SmASmdEx,,,,,,2022-07-13T23:28:43Z,gameLobbyTimedOut,,,,2022-07-13T22:43:34Z,,,,,,,,,,,,,,,,
yxLMK9WykWEGmuYxz,,,,,,2022-07-13T23:28:43Z,gameLobbyTimedOut,,,,2022-07-13T22:43:52Z,6,12,constant,anyone,same,0,,,,,,,,,,
MbBKYyDSifwrCL5mx,,2022-07-13T22:54:20Z,,,ExitSurvey,2022-07-14T00:17:26Z,finished,,,,2022-07-13T22:46:44Z,6,12,matter,anyone,different,0,"/experiment/tangram_C.png,/experiment/tangram_A.png,/experiment/tangram_E.png,/experiment/tangram_F.png,/experiment/tangram_B.png,/experiment/tangram_G.png,/experiment/tangram_I.png,/experiment/tangram_L.png,/experiment/tangram_D.png,/experiment/tangram_J.png,/experiment/tangram_K.png,/experiment/tangram_H.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6640000000000015,speaker,false,,
h9M4JXbyqvZ9JTXgC,,2022-07-13T22:55:43Z,,,"Sorry,ExitSurvey",2022-07-13T23:07:18Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:46:51Z,6,12,matter,anyone,different,0,"/experiment/tangram_I.png,/experiment/tangram_L.png,/experiment/tangram_H.png,/experiment/tangram_K.png,/experiment/tangram_E.png,/experiment/tangram_J.png,/experiment/tangram_D.png,/experiment/tangram_B.png,/experiment/tangram_C.png,/experiment/tangram_G.png,/experiment/tangram_A.png,/experiment/tangram_F.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Zuda,/avatars/jdenticon/Mason,#BD75D1,0.12,listener,/experiment/tangram_E.png,26496,true
yF3CnqvwE8vYRuZna,,2022-07-13T22:51:08Z,,,"Sorry,ExitSurvey",2022-07-13T22:56:39Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:46:53Z,6,12,matter,anyone,different,0,"/experiment/tangram_L.png,/experiment/tangram_C.png,/experiment/tangram_D.png,/experiment/tangram_F.png,/experiment/tangram_K.png,/experiment/tangram_H.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_G.png,/experiment/tangram_B.png,/experiment/tangram_A.png,/experiment/tangram_E.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Bavi,/avatars/jdenticon/Kaylee,#A83F38,0.08,listener,false,13038,true
QAg6bjsMtG7DtKnhi,,2022-07-13T22:55:41Z,,,"Sorry,ExitSurvey",2022-07-13T23:07:30Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:46:55Z,6,12,matter,anyone,different,0,"/experiment/tangram_D.png,/experiment/tangram_L.png,/experiment/tangram_C.png,/experiment/tangram_K.png,/experiment/tangram_I.png,/experiment/tangram_H.png,/experiment/tangram_G.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_J.png,/experiment/tangram_F.png,/experiment/tangram_A.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Laju,/avatars/jdenticon/Katherine,#3D45B7,0.08,listener,false,22710,true
wY2uEhHeSSCPuaAb5,,2022-07-13T22:49:32Z,,,"Sorry,ExitSurvey",2022-07-13T23:17:01Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:46:59Z,6,12,matter,anyone,different,0,"/experiment/tangram_A.png,/experiment/tangram_I.png,/experiment/tangram_K.png,/experiment/tangram_J.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_F.png,/experiment/tangram_D.png,/experiment/tangram_G.png,/experiment/tangram_B.png,/experiment/tangram_E.png,/experiment/tangram_C.png","speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Zuda,/avatars/jdenticon/Mason,#BD75D1,0.496,listener,false,30783,true
zXhKbtCWWeugwhmPt,,,,,,2022-07-13T23:28:43Z,gameLobbyTimedOut,,,,2022-07-13T22:47:05Z,6,12,constant,anyone,different,0,,,,,,,,,,
v9m4AiuRyMLyXPdkf,,2022-07-13T22:53:01Z,,,ExitSurvey,2022-07-14T00:19:57Z,finished,,,,2022-07-13T22:47:05Z,6,12,matter,anyone,different,0,"/experiment/tangram_E.png,/experiment/tangram_L.png,/experiment/tangram_F.png,/experiment/tangram_D.png,/experiment/tangram_C.png,/experiment/tangram_H.png,/experiment/tangram_I.png,/experiment/tangram_G.png,/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_J.png,/experiment/tangram_A.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Bavi,/avatars/jdenticon/Kaylee,#A83F38,2.6400000000000015,listener,/experiment/tangram_E.png,,
5qHDB3YWZBoHgiFY5,,2022-07-13T22:51:46Z,,,"Sorry,ExitSurvey",2022-07-13T22:56:39Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:47:06Z,6,12,matter,anyone,different,0,"/experiment/tangram_G.png,/experiment/tangram_B.png,/experiment/tangram_A.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_I.png,/experiment/tangram_F.png,/experiment/tangram_C.png,/experiment/tangram_J.png,/experiment/tangram_E.png,/experiment/tangram_D.png,/experiment/tangram_K.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,0.04,listener,false,13318,true
Sy5qxcScx4bArQMo6,,2022-07-13T22:52:38Z,,,ExitSurvey,2022-07-14T00:19:57Z,finished,,,,2022-07-13T22:47:08Z,6,12,matter,anyone,different,0,"/experiment/tangram_H.png,/experiment/tangram_B.png,/experiment/tangram_K.png,/experiment/tangram_I.png,/experiment/tangram_A.png,/experiment/tangram_J.png,/experiment/tangram_G.png,/experiment/tangram_L.png,/experiment/tangram_D.png,/experiment/tangram_F.png,/experiment/tangram_E.png,/experiment/tangram_C.png","speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Hera,/avatars/jdenticon/Riley,#997E32,2.7760000000000016,listener,/experiment/tangram_E.png,,
AazDsw9qe2dexkLqa,,2022-07-13T22:52:07Z,,,ExitSurvey,2022-07-14T00:19:57Z,finished,,,,2022-07-13T22:47:11Z,6,12,matter,anyone,different,0,"/experiment/tangram_J.png,/experiment/tangram_G.png,/experiment/tangram_A.png,/experiment/tangram_B.png,/experiment/tangram_I.png,/experiment/tangram_L.png,/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_C.png,/experiment/tangram_D.png,/experiment/tangram_K.png,/experiment/tangram_E.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Minu,/avatars/jdenticon/Alaina,#7ACC66,2.8240000000000016,listener,/experiment/tangram_E.png,,
iPE7K5NL3ZF8mGf9t,,2022-07-13T22:58:45Z,,,"Sorry,ExitSurvey",2022-07-14T02:42:54Z,finished,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:47:12Z,6,12,matter,anyone,different,0,"/experiment/tangram_A.png,/experiment/tangram_G.png,/experiment/tangram_K.png,/experiment/tangram_E.png,/experiment/tangram_F.png,/experiment/tangram_B.png,/experiment/tangram_C.png,/experiment/tangram_H.png,/experiment/tangram_D.png,/experiment/tangram_J.png,/experiment/tangram_L.png,/experiment/tangram_I.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Laju,/avatars/jdenticon/Katherine,#3D45B7,0.08,listener,false,29818,true
Wso8rQLavXZPtgG2v,,2022-07-13T22:51:35Z,,,"Sorry,ExitSurvey",2022-07-13T22:56:39Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:47:16Z,6,12,matter,anyone,different,0,"/experiment/tangram_L.png,/experiment/tangram_F.png,/experiment/tangram_K.png,/experiment/tangram_D.png,/experiment/tangram_I.png,/experiment/tangram_E.png,/experiment/tangram_C.png,/experiment/tangram_B.png,/experiment/tangram_G.png,/experiment/tangram_H.png,/experiment/tangram_J.png,/experiment/tangram_A.png","speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Hera,/avatars/jdenticon/Riley,#997E32,0.064,speaker,false,13043,true
zwiWDYioyEXwPuR3b,,2022-07-13T22:50:37Z,,,"Sorry,ExitSurvey",2022-07-13T23:17:00Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:47:20Z,6,12,matter,anyone,different,0,"/experiment/tangram_C.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_K.png,/experiment/tangram_I.png,/experiment/tangram_A.png,/experiment/tangram_D.png,/experiment/tangram_G.png,/experiment/tangram_J.png,/experiment/tangram_F.png,/experiment/tangram_L.png,/experiment/tangram_H.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Bavi,/avatars/jdenticon/Kaylee,#A83F38,0.5199999999999999,listener,false,23590,true
P5mFFBLCywApLr7JJ,,2022-07-13T22:49:52Z,,,"Sorry,ExitSurvey",2022-07-13T23:17:01Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-07-13T22:47:25Z,6,12,matter,anyone,different,0,"/experiment/tangram_H.png,/experiment/tangram_B.png,/experiment/tangram_C.png,/experiment/tangram_A.png,/experiment/tangram_F.png,/experiment/tangram_E.png,/experiment/tangram_D.png,/experiment/tangram_J.png,/experiment/tangram_L.png,/experiment/tangram_G.png,/experiment/tangram_K.png,/experiment/tangram_I.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Laju,/avatars/jdenticon/Katherine,#3D45B7,0.5199999999999999,listener,false,25042,true
