_id,index,stageIds,gameId,createdAt,target,targetNum,repNum,trialNum,numPlayers,countCorrect,speaker,submitted,playerId,correct,response,time,tangram
tDW3kYC849oe8yrk3,0,"tB2R98a4HMuRtAvqi,2nGt9TJCATqJn9bWY",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_L.png,0,0,0,5,3,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_L.png,88.494,L
co6Lk7BwJPtQtiDsB,1,"Ly82zCAGYwfrPpW65,9SuekEdoNEaMbJdyH",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_I.png,1,0,1,5,4,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_I.png,33.254,I
xm5jSyzW2pt6YKM8i,2,"W9b9it6daYJN958qJ,bWh84hcyGymXLPzSk",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_C.png,2,0,2,5,4,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_C.png,36.386,C
38dWhMZNuruh7WHXK,3,"DP3oGq6YN2N9FmdmW,6FQsKPEC7RArEyaFo",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_A.png,3,0,3,5,4,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_A.png,46.949,A
HxFdyWWCSfRofC9TY,4,"JizuoWqGDy6JvtHxJ,6rczRMAg3DNqP3G4P",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_K.png,4,0,4,5,4,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_K.png,54.169,K
4oedsznjRit93Ta9M,5,"wTxmcnbjHxFJeQaCh,fptgj5ojFaBoM7giq",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_F.png,5,0,5,5,3,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_F.png,28.706,F
hkzpJ9oSENr6Nghxu,6,"JjMc8b3fGDwPFc8x9,h7kWXnHW2LgoJHtMu",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_H.png,6,0,6,5,2,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_H.png,25.458,H
uQuYRbhBjymdD2YrL,7,"X96owzeJ8TRbXuMK3,HS38CoqSuZyHpBENu",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_J.png,7,0,7,5,1,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_J.png,73.983,J
NuiKmQ4dxjapFGQLQ,8,"xHs5iXZaXMfA9ME2A,afsz582JRqNBz4ERL",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_B.png,8,0,8,5,4,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_B.png,36.102,B
NzAxvedtWfT7HvtWo,9,"jxDvdfRddzDP2yxqs,PaLbBtgcLZsQhmxHb",55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,/experiment/tangram_G.png,9,0,9,5,4,SuRN8Cwpc7a6Cu2zZ,TRUE,5p4sT5FWj7m7RjGiN,TRUE,/experiment/tangram_G.png,52.079,G
