_id,name,value,factorTypeId,createdAt
3HCD9hTDNi9B2CEaM,true,true,PbMKWFHGq7qHwK6NL,2021-07-22T22:20:56Z
wgxoCeTaba8FJqqC6,false,false,PbMKWFHGq7qHwK6NL,2021-07-22T22:20:56Z
xWQjpcmpuWmZXGA7P,Triad,3,XTudNHXzMwceNsh67,2021-07-22T22:20:56Z
xWQjpcmpuWmZXGA7Q,Pair,2,XTudNHXzMwceNsh67,2021-07-22T22:20:56Z
xWQjpcmpuWmZXGA7R,Quad,4,XTudNHXzMwceNsh67,2021-07-22T22:20:56Z
WPMyAs4AHQkRbejSw,One,1,uWvpQqxyNi8Dz6CSn,2021-07-22T22:20:56Z
bMLyzSZu2NMqPxMp3,Six,6,uWvpQqxyNi8Dz6CSn,2021-07-22T22:20:56Z
XxGKfzAdshtarMJ8v,five,5,tJ642Av4buu8Q5w73,2021-07-22T22:20:56Z
ivrbpviGCdXTDsEiZ,Four,4,ZkXeabrJhX4KfX8yj,2021-07-22T22:20:56Z
pWeADdnYht6s2XmXy,threemin,180,kJddTH8X4Y6Df7SPA,2021-07-22T22:20:56Z
STrYPy3iToz6XDo9d,May4,63E387C3,oTmtc6KmQb77CaDTC,2021-07-22T22:20:56Z
dHWpefqp6TsmkEaK5,Five,5,XTudNHXzMwceNsh67,2021-07-22T22:21:19Z
xpHBpucHTcKtCgEiH,Six,6,XTudNHXzMwceNsh67,2021-07-22T22:21:26Z
