_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
tXc9x6Pbgc8RL7P6R,1,simple,true,2022-10-05T17:36:42Z,2022-10-05T18:41:58Z,finished,,eYSrAKh9knoEHcLid,2022-10-05T17:36:26Z,2022-10-10T16:59:15Z
pGtCJ5QJfDLF3Q4Ae,2,simple,true,2022-10-05T17:36:43Z,2022-10-05T18:58:17Z,finished,,QG9fkFCXKj6g9mjR5,2022-10-05T17:36:28Z,2022-10-10T16:59:15Z
opbWSdGG976e6ZYrL,3,simple,true,2022-10-05T17:36:43Z,2022-10-05T19:11:18Z,finished,,47tccL2hHpmjgZT8o,2022-10-05T17:36:28Z,2022-10-10T16:59:15Z
XQJujBhzfrB7z4uh9,4,simple,true,2022-10-05T17:36:44Z,2022-10-05T19:04:41Z,finished,,idfdowLZKpkzB8ypa,2022-10-05T17:36:29Z,2022-10-10T16:59:15Z
iei34rykdXmDuzmLr,5,simple,true,2022-10-05T17:36:44Z,2022-10-05T19:29:00Z,finished,,6ikro5aNu98qHGGFL,2022-10-05T17:36:30Z,2022-10-10T16:59:16Z
uMdBpAuYXDTt6X3Jp,6,simple,true,2022-10-05T17:36:45Z,2022-10-05T18:00:53Z,finished,,z5DaZsxjede62hRm4,2022-10-05T17:36:37Z,2022-10-10T16:59:16Z
ZaXezWmnhiaQryy2M,7,simple,true,2022-10-05T17:36:46Z,2022-10-05T18:06:11Z,finished,,HM6dAjNLzKEDkYStf,2022-10-05T17:36:40Z,2022-10-10T16:59:16Z
dJd2XJFHQ553h6QEA,8,simple,false,2022-10-11T17:25:06Z,,cancelled,,6DnWDeyeZcxSqaxat,2022-10-11T17:24:31Z,2022-10-11T21:02:26Z
t4AJCE4D4FzyGMotJ,9,simple,true,2022-10-11T17:25:05Z,2022-10-11T19:12:02Z,finished,,rh2pMRzSL4yD44HjC,2022-10-11T17:24:37Z,2022-10-11T21:02:31Z
pgzGQar9NoXSK23Bz,10,simple,true,2022-10-11T17:25:05Z,2022-10-11T18:55:19Z,finished,,ubLMx8izZC8ygGh9B,2022-10-11T17:24:38Z,2022-10-11T21:02:31Z
az9Act9DQ9WdZTGJm,11,simple,true,2022-10-11T17:25:04Z,2022-10-11T19:48:16Z,finished,,5wn4MiopXyfXuTxG9,2022-10-11T17:24:38Z,2022-10-11T21:02:30Z
Y4pc7uoSuKaHQEqQr,12,simple,true,2022-10-11T17:25:04Z,2022-10-11T19:06:45Z,finished,,xxh6EZ5ESMvTDboLx,2022-10-11T17:24:39Z,2022-10-11T21:02:30Z
GdSri2Ci6uaGLwtLf,13,simple,true,2022-10-11T17:25:04Z,2022-10-11T19:27:44Z,finished,,yuahmMCJwB5LLGYHB,2022-10-11T17:24:40Z,2022-10-11T21:02:30Z
nAmzszk84MKHhYZFS,14,simple,true,2022-10-11T17:25:03Z,2022-10-11T19:17:41Z,finished,,BTbGhXZvjdSFubTBg,2022-10-11T17:24:40Z,2022-10-11T21:02:30Z
MwTgFc8CfmXxCZTRp,15,simple,true,2022-10-11T17:25:03Z,2022-10-11T18:50:33Z,finished,,J5gYJw8tzaF3TwhaC,2022-10-11T17:24:41Z,2022-10-11T21:02:29Z
aJG6Tu9uRKhxDkQzG,16,simple,true,2022-10-11T17:25:02Z,2022-10-11T19:07:26Z,finished,,244HZEA6vDgTcLdLs,2022-10-11T17:24:42Z,2022-10-11T21:02:29Z
9T5KShoZ4aSXyjoM9,17,simple,true,2022-10-11T17:25:02Z,2022-10-11T19:24:38Z,finished,,XPDgovNnwsyppFmAf,2022-10-11T17:24:42Z,2022-10-11T21:02:29Z
TMiQ7HKZ5LABDsFsc,18,simple,true,2022-10-11T17:25:02Z,2022-10-11T19:15:53Z,finished,,8gqBudziFTfxbfF4b,2022-10-11T17:24:43Z,2022-10-11T21:02:29Z
KJcgy4znxzqupHxJv,19,simple,true,2022-10-11T17:25:01Z,2022-10-11T19:44:59Z,finished,,2p26ok9CFsRGJGceh,2022-10-11T17:24:44Z,2022-10-11T21:02:29Z
DcD5otRN89BZvDTaa,20,simple,true,2022-10-11T17:25:01Z,2022-10-11T19:12:15Z,finished,,C6NxFhmDQvNgE2P68,2022-10-11T17:24:45Z,2022-10-11T21:02:28Z
abKDFm2zCrMjDuQ2X,21,simple,true,2022-10-11T17:25:00Z,2022-10-11T19:09:34Z,finished,,iHNnNCnSAx2TYjDhf,2022-10-11T17:24:45Z,2022-10-11T21:02:28Z
CGC7b7euyx47jLsf4,22,simple,true,2022-10-11T17:25:00Z,2022-10-11T19:01:27Z,finished,,G74GhYGrsaxrsfYxf,2022-10-11T17:24:46Z,2022-10-11T21:02:28Z
