_id,name,value,factorTypeId,createdAt
uHPkggs9TXkrRgo7t,true,true,PbMKWFHGq7qHwK6NL,2021-05-04T21:29:48Z
mvQaRpAn27z2S8dcy,false,false,PbMKWFHGq7qHwK6NL,2021-05-04T21:29:48Z
xWQjpcmpuWmZXGA7P,Triad,3,PoMi2Xd3niofB5XiN,2021-05-04T21:29:48Z
xWQjpcmpuWmZXGA7Q,Pair,2,PoMi2Xd3niofB5XiN,2021-05-04T21:29:48Z
xWQjpcmpuWmZXGA7R,Quad,4,PoMi2Xd3niofB5XiN,2021-05-04T21:29:48Z
WPMyAs4AHQkRbejSw,One,1,uWvpQqxyNi8Dz6CSn,2021-05-04T21:29:48Z
bMLyzSZu2NMqPxMp3,Six,6,uWvpQqxyNi8Dz6CSn,2021-05-04T21:29:48Z
XxGKfzAdshtarMJ8v,five,5,tJ642Av4buu8Q5w73,2021-05-04T21:29:48Z
ivrbpviGCdXTDsEiZ,Four,4,ZkXeabrJhX4KfX8yj,2021-05-04T21:29:48Z
pWeADdnYht6s2XmXy,threemin,180,kJddTH8X4Y6Df7SPA,2021-05-04T21:29:48Z
STrYPy3iToz6XDo9d,May4,63E387C3,oTmtc6KmQb77CaDTC,2021-05-04T21:29:48Z
