row_id,index,stageIds,gameId,createdAt,targetNum,repNum,trialNum,numPlayers,text,playerId,target,role,type,countCorrect,speaker,submitted
zHRZhuDbrAGwRQ5pn,2,"RmQ6o5Mgu68eJSMhu,q6eRWMPhiiFGN3is9",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,2,0,2,6,	✅ ,KmWbAeCwcagamgCTG,/experiment/tangram_A.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
zHRZhuDbrAGwRQ5pn,2,"RmQ6o5Mgu68eJSMhu,q6eRWMPhiiFGN3is9",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,2,0,2,6,	✅ ,tbTZ8oZNvSzj9kCeA,/experiment/tangram_A.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,The picture looks like a man sitting down with his hands on his knees.,qXfAnzBoZ64SMpq3Q,/experiment/tangram_F.png,speaker,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,🤔,cy6HigPTSWTac7Xqy,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,🤔,cy6HigPTSWTac7Xqy,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,🤔,QWwsugysdZETSqF5F,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,🤔,KmWbAeCwcagamgCTG,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,🤔,sSbufz2TAxmpms64o,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,"You know when you sit down, knees up and grab your knees.",qXfAnzBoZ64SMpq3Q,/experiment/tangram_F.png,speaker,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,	✅ ,tbTZ8oZNvSzj9kCeA,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
