_id,index,stageIds,gameId,createdAt,target,targetNum,repNum,trialNum,numPlayers,countCorrect,speaker,submitted,playerId,correct,response,time,tangram
R9zC5otCHtKKtgB7A,18,"oqp34KiAYAsfG6iLs,R4BzaBTCut9Y8DztG",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_C.png,6,1,18,6,5,QWwsugysdZETSqF5F,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_C.png,60.031,C
9iEM4ojjk5Mov26ZB,19,"EdAHeD4tbNaQLosmK,FsH2rrCQNMBAhk6wE",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_K.png,7,1,19,6,3,QWwsugysdZETSqF5F,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_K.png,106.143,K
gpjQAzEHyyfkBAo3Y,20,"ZWkCoH2TgMrLHT6fg,XDEBnYKjR8mbWHFGo",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_J.png,8,1,20,6,5,QWwsugysdZETSqF5F,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_J.png,34.623,J
nxZJDS8SFDFH2QuoP,21,"iihozMo4zSvv2AvNp,Q4j6Gk4KGjPugpu5W",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_E.png,9,1,21,6,5,QWwsugysdZETSqF5F,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_E.png,55.398,E
JCsu3Jyitb7GwFW7c,22,"qRz3jj4eRZD9GQcsD,FXbT2y9ee5ESMub7v",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_D.png,10,1,22,6,5,QWwsugysdZETSqF5F,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_D.png,89.12,D
MwQcxmnR7Nxx9gWP4,23,"ic3rRHWnKhboMgb27,E2rhHZGpQfWG8SFbM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_A.png,11,1,23,6,2,QWwsugysdZETSqF5F,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_A.png,93.895,A
TSu8uTvopbrMX957o,36,"Y7wLTMq4Qht9MJYCt,JTB6GXCT9RkLmknhD",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_C.png,0,3,36,6,5,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_C.png,28.464,C
Z2E6zCfM3ytNN3Z5v,37,"5mB3RxBYmZtfa9Kef,EYqi9A54fD3KNGioH",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_D.png,1,3,37,6,5,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_D.png,34.226,D
gPgZoNbGa33AawhPk,38,"msQvFRQKnXPQfBxSH,u23BWZY89eTqtGg5r",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_B.png,2,3,38,6,1,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_F.png,123.331,B
8Fr3AZ3igtNrrYDpE,39,"Ctsb7vT46DeorAN8o,MTcGuEKR8xtmbPWaa",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_G.png,3,3,39,6,2,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_B.png,73.562,G
sxAr5WPE9JTzh7Zwx,40,"5LQMTxrNsATpHmMPq,EFWTGpEE5xCf5bToF",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_F.png,4,3,40,6,5,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_F.png,35.494,F
mvJCkzpK7Ndc7yZv9,41,"aH7KbfFepnqrFdL8F,8e4wWLKtT7NzdRd6K",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_J.png,5,3,41,6,5,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_J.png,29.539,J
ixwyzLePtG5mfZWfX,42,"nK6NiAsfCYQxMdMCk,eHkqCcjARSDibX3FX",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_K.png,6,3,42,6,3,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_L.png,56.761,K
hoYE88pC9McgkCifr,43,"2mSyNed74nrnrCRNd,nTwotjJt5Xcbj72KR",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_H.png,7,3,43,6,4,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_F.png,71.395,H
FWLxgFSGhW8DProb5,44,"AFdKm6ogxahXYMbvv,kzFoQR2BcrsgYm7Zm",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_I.png,8,3,44,6,4,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_I.png,61.582,I
v2CcQQwdrpTg466mg,45,"z9hJrHfyAd7tFyYrt,AyEp3Xs7r64pMaGJu",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_A.png,9,3,45,6,5,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_A.png,21.478,A
kKSwZ4yJcffzpJgQn,46,"4Z8Rnu9Mj4htNh9DZ,eduyaSCwBzRdpkLPk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_L.png,10,3,46,6,5,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_L.png,50.577,L
fuSbZEiM98BgamzLb,47,"3KaHpkRKBXGmAAsxi,WdYA3qSiKezYtGxCX",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_E.png,11,3,47,6,4,cy6HigPTSWTac7Xqy,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_E.png,62.616,E
4eSofHY2JggJQBGNE,48,"PQRc5pvCZWmrfmoq7,c9xyiLuCWA2xkjkEv",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_I.png,0,4,48,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_I.png,69.36,I
27WFzF7A5ufoRsE3Q,49,"ub5SDZWv5joGZT3xG,5pWgpouD3YqyzRXk2",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_L.png,1,4,49,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_L.png,27.871,L
u4qZXw7mQLf3eLr6x,50,"aJodbGvkoLBZN5L2d,dsyjoxdLZbJafBKB8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_G.png,2,4,50,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_G.png,28.785,G
R39WPngJHDakS2Cg8,51,"2EFEw9PB4kHhp5SDb,hkfP3A43CARStdDvo",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_J.png,3,4,51,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_J.png,15.504,J
