_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.nParticipants,data.tangramCount,data.scoreOption,data.chat,data.pictures,data.timeOut,data.tangramURLs,data.roleList,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.exitTimeoutId,data.exited
TLiFSmnh3j4DJq6Jn,,2022-08-10T18:19:48Z,,,"Sorry,ExitSurvey",2022-08-10T18:36:32Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-08-10T18:14:55Z,6,12,matter,speaker,different,0,"/experiment/tangram_D.png,/experiment/tangram_L.png,/experiment/tangram_F.png,/experiment/tangram_E.png,/experiment/tangram_J.png,/experiment/tangram_A.png,/experiment/tangram_I.png,/experiment/tangram_H.png,/experiment/tangram_K.png,/experiment/tangram_G.png,/experiment/tangram_B.png,/experiment/tangram_C.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Minu,/avatars/jdenticon/Alaina,#7ACC66,0.36,listener,false,21730,true
HwkxanFFSdThz6RDn,,2022-08-10T18:21:03Z,,,"Sorry,ExitSurvey",2022-08-10T21:48:54Z,finished,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-08-10T18:14:56Z,6,12,matter,speaker,different,0,"/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_C.png,/experiment/tangram_F.png,/experiment/tangram_J.png,/experiment/tangram_E.png,/experiment/tangram_A.png,/experiment/tangram_I.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_G.png,/experiment/tangram_D.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Laju,/avatars/jdenticon/Katherine,#3D45B7,0.39999999999999997,listener,false,28116,true
veMJTxWmw94e63tFJ,,2022-08-10T18:20:49Z,,,ExitSurvey,2022-08-10T19:24:06Z,finished,,,,2022-08-10T18:14:57Z,6,12,matter,speaker,different,0,"/experiment/tangram_A.png,/experiment/tangram_E.png,/experiment/tangram_L.png,/experiment/tangram_K.png,/experiment/tangram_C.png,/experiment/tangram_G.png,/experiment/tangram_H.png,/experiment/tangram_I.png,/experiment/tangram_J.png,/experiment/tangram_B.png,/experiment/tangram_F.png,/experiment/tangram_D.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Bavi,/avatars/jdenticon/Kaylee,#A83F38,2.5760000000000014,speaker,false,,
BJSbxzjLpbPqQbWk7,,2022-08-10T18:21:42Z,,,,2022-08-10T21:48:54Z,finished,,,,2022-08-10T18:14:57Z,6,12,matter,speaker,different,0,"/experiment/tangram_I.png,/experiment/tangram_G.png,/experiment/tangram_A.png,/experiment/tangram_C.png,/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_B.png,/experiment/tangram_K.png,/experiment/tangram_J.png,/experiment/tangram_E.png,/experiment/tangram_D.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Minu,/avatars/jdenticon/Alaina,#7ACC66,0.24000000000000002,listener,false,,
vYeh5BokXWWNWraAN,,2022-08-10T18:18:37Z,,,ExitSurvey,2022-08-10T19:36:26Z,finished,,,,2022-08-10T18:14:59Z,6,12,matter,speaker,different,0,"/experiment/tangram_B.png,/experiment/tangram_L.png,/experiment/tangram_E.png,/experiment/tangram_G.png,/experiment/tangram_J.png,/experiment/tangram_A.png,/experiment/tangram_D.png,/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_C.png,/experiment/tangram_I.png,/experiment/tangram_K.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Hera,/avatars/jdenticon/Riley,#997E32,2.328000000000001,speaker,false,,
qK4JJfPD9PpMyELxC,,2022-08-10T18:22:20Z,,,"Sorry,ExitSurvey",2022-08-10T22:02:58Z,finished,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-08-10T18:15:01Z,6,12,matter,speaker,different,0,"/experiment/tangram_G.png,/experiment/tangram_J.png,/experiment/tangram_H.png,/experiment/tangram_K.png,/experiment/tangram_A.png,/experiment/tangram_F.png,/experiment/tangram_C.png,/experiment/tangram_L.png,/experiment/tangram_I.png,/experiment/tangram_D.png,/experiment/tangram_B.png,/experiment/tangram_E.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Zuda,/avatars/jdenticon/Mason,#BD75D1,0.32,listener,false,32461,true
4Xv4z5FwxNwN8a7A5,,2022-08-10T18:24:27Z,,,"Sorry,ExitSurvey",2022-08-10T19:06:01Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-08-10T18:15:04Z,6,12,matter,speaker,different,0,"/experiment/tangram_I.png,/experiment/tangram_F.png,/experiment/tangram_C.png,/experiment/tangram_A.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_D.png,/experiment/tangram_J.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_K.png,/experiment/tangram_G.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,1.0000000000000004,listener,false,45616,true
3JqBdjgkBa95CWon4,,2022-08-10T18:18:44Z,,,ExitSurvey,2022-08-10T19:13:57Z,finished,,,,2022-08-10T18:15:05Z,6,12,matter,speaker,different,0,"/experiment/tangram_F.png,/experiment/tangram_K.png,/experiment/tangram_C.png,/experiment/tangram_A.png,/experiment/tangram_G.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_D.png,/experiment/tangram_H.png,/experiment/tangram_L.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,2.352000000000001,listener,/experiment/tangram_D.png,,
DqWfz2Gw2aTiFh93K,,2022-08-10T18:24:11Z,,,"Sorry,ExitSurvey",2022-08-10T19:06:01Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-08-10T18:15:06Z,6,12,matter,speaker,different,0,"/experiment/tangram_E.png,/experiment/tangram_I.png,/experiment/tangram_B.png,/experiment/tangram_J.png,/experiment/tangram_H.png,/experiment/tangram_A.png,/experiment/tangram_D.png,/experiment/tangram_K.png,/experiment/tangram_L.png,/experiment/tangram_C.png,/experiment/tangram_F.png,/experiment/tangram_G.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Minu,/avatars/jdenticon/Alaina,#7ACC66,0.7360000000000001,speaker,false,45904,true
uL8Ra7o8CMsN8KXPj,,2022-08-10T18:17:36Z,,,"Sorry,ExitSurvey",2022-08-10T20:45:23Z,finished,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-08-10T18:15:06Z,6,12,matter,speaker,different,0,"/experiment/tangram_J.png,/experiment/tangram_K.png,/experiment/tangram_G.png,/experiment/tangram_I.png,/experiment/tangram_H.png,/experiment/tangram_D.png,/experiment/tangram_C.png,/experiment/tangram_B.png,/experiment/tangram_L.png,/experiment/tangram_E.png,/experiment/tangram_F.png,/experiment/tangram_A.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Bavi,/avatars/jdenticon/Kaylee,#A83F38,1.2400000000000004,listener,false,31964,true
