_id,index,stageIds,gameId,createdAt,data.target,data.targetNum,data.repNum,data.trialNum,data.numPlayers,data.chat,data.countCorrect,data.speaker,data.submitted,data.player_KoWnWfwfFfHpBEqxf_response,data.player_KoWnWfwfFfHpBEqxf_correct,data.player_KoWnWfwfFfHpBEqxf_time,data.player_ZZ2uFm5b7CT93ysvK_response,data.player_ZZ2uFm5b7CT93ysvK_correct,data.player_ZZ2uFm5b7CT93ysvK_time,data.player_GxEQ2BLzxfs4Cqyy7_response,data.player_GxEQ2BLzxfs4Cqyy7_correct,data.player_GxEQ2BLzxfs4Cqyy7_time,data.player_rmoEFT2XgGTnZhYpW_response,data.player_rmoEFT2XgGTnZhYpW_correct,data.player_rmoEFT2XgGTnZhYpW_time,data.player_5Gzn93BmdSuETb3Mp_response,data.player_5Gzn93BmdSuETb3Mp_correct,data.player_5Gzn93BmdSuETb3Mp_time,data.player_GhSwhtB4khdc4eAnc_response,data.player_GhSwhtB4khdc4eAnc_correct,data.player_GhSwhtB4khdc4eAnc_time,data.player_MowFo8goxY3jaDFQD_response,data.player_MowFo8goxY3jaDFQD_correct,data.player_MowFo8goxY3jaDFQD_time,data.player_R4cH2Wvnq7Hup22hE_response,data.player_R4cH2Wvnq7Hup22hE_correct,data.player_R4cH2Wvnq7Hup22hE_time,data.player_3xbue5SXsZhMFcoXD_response,data.player_3xbue5SXsZhMFcoXD_correct,data.player_3xbue5SXsZhMFcoXD_time,data.player_Fwpuw5PorJiL2CQq2_response,data.player_Fwpuw5PorJiL2CQq2_correct,data.player_Fwpuw5PorJiL2CQq2_time,data.player_MyYcSeQuKzZXPgcps_response,data.player_MyYcSeQuKzZXPgcps_correct,data.player_MyYcSeQuKzZXPgcps_time,data.player_qQkeWn5pRw2Tnh2qW_response,data.player_qQkeWn5pRw2Tnh2qW_correct,data.player_qQkeWn5pRw2Tnh2qW_time,data.player_3HnY6cEiKRnaoCzuW_response,data.player_3HnY6cEiKRnaoCzuW_correct,data.player_3HnY6cEiKRnaoCzuW_time,data.player_BZR8ycLX8WhmqH72E_response,data.player_BZR8ycLX8WhmqH72E_correct,data.player_BZR8ycLX8WhmqH72E_time,data.player_LwwqwHtfDjbas9Tdh_response,data.player_LwwqwHtfDjbas9Tdh_correct,data.player_LwwqwHtfDjbas9Tdh_time,data.player_uvhyttbZHh9TDNmvo_response,data.player_uvhyttbZHh9TDNmvo_correct,data.player_uvhyttbZHh9TDNmvo_time,data.player_fJ5SPaT8HAEdyFqFi_response,data.player_fJ5SPaT8HAEdyFqFi_correct,data.player_fJ5SPaT8HAEdyFqFi_time,data.player_n2TFijxL2YKrrbvs2_response,data.player_n2TFijxL2YKrrbvs2_correct,data.player_n2TFijxL2YKrrbvs2_time,data.player_HsaRPYbfJeycoTian_response,data.player_HsaRPYbfJeycoTian_correct,data.player_HsaRPYbfJeycoTian_time,data.player_fZhQqjRbuauuDGkYA_response,data.player_fZhQqjRbuauuDGkYA_correct,data.player_fZhQqjRbuauuDGkYA_time,data.player_5ce5qcb55STKFDRba_response,data.player_5ce5qcb55STKFDRba_correct,data.player_5ce5qcb55STKFDRba_time,data.player_EkSyo876Mn7vCJxtd_response,data.player_EkSyo876Mn7vCJxtd_correct,data.player_EkSyo876Mn7vCJxtd_time
YtYF4f43qbhXKYk52,10,"d9h67hq6pzr5bsy7p,MvqQuCW89yEnmEuEY",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_A.png,10,0,10,2,"{""text"":""This one would be like a zombie. one leg in the air, one leg on the ground and the arms are up but droopy at the wrists."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_A.png,true,45291,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z5aEL7tN7FZ2xbKJr,11,"v4JaXiAQyqYgqynQC,Y3YEyCFgyuzgfGFg4",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_C.png,11,0,11,2,"{""text"":""this one you can only see the torso and arms and head. they are leaning forward towards the left with their arms up in the air."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_C.png,true,36131,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yQCeJeQcriuANEomM,12,"5tnhSRua9CzTv8tvT,AQkNBHko6nuZm4XTX",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_A.png,0,1,12,2,"{""text"":""This one looks like a zombie character. One leg on the ground and one leg in the air. Arms limp at the wrists"",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_A.png,true,33943,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xxP2nHZyQipRZGSib,13,"DTaKRad2AbpsCpKe8,kZoEPaK3rEty87MSt",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_K.png,1,1,13,2,"{""text"":""This one looks like a guy on his knees with the back of his shoes pointed up. He is holding a collection plate and looking up."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_K.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_K.png,true,33731,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iG4eZJcfnZkfoysbS,14,"KTKvDuhyzKmwbKgEH,vgsDLBezAurd2iN5y",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_I.png,2,1,14,2,"{""text"":""This one is someone standing on one leg. Their arms are outstretched in front of them and they are leaning towards the left."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_I.png"",""role"":""speaker""},{""text"":""The other leg is out stretched behind them."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_I.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_I.png,true,69070,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yy5CAALNAaxHPKMZ2,15,"db8Qea7pxPsaYgHBb,MTHruyrLQDre5fmow",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_E.png,3,1,15,2,"{""text"":""This looks like someone sitting against a wall facing right. THey have bunny ears on their head and their head is leaning down."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_E.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_E.png,true,38827,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wn9RyCbc9n9fco6YS,16,"26iHrLJw67MrTwrwu,c8GRaMdXvxWYxt2rE",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_F.png,4,1,16,2,"{""text"":""This is a person sitting on the ground facing left. Their knees are up"",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_F.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_F.png,true,32196,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aQEtZbkMDdTRncDfN,17,"SmNgTKvAD8PkesGAC,vPNhQp5YDwSeemi77",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_B.png,5,1,17,2,"{""text"":""This looks like a person on their knees facing right with their feet behind them. They are looking down and their arms are outstretched like a pretend plane."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_B.png,true,61111,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dJZ8ZXYvMqS6hMmdg,18,"wCvCdZk2icwgWQcH8,86Shz5oC88RAKPaqX",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_G.png,6,1,18,2,"{""text"":""This looks like a person sitting on the ground facing the left but instead of just sitting against a wall they look like they have wings or something coming out of their back."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_G.png,true,43381,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ChTHeQHmAu44kfmh,19,"6XxTT9kkbt8uxmoJb,h35A5P4eeppxgGcbS",wTntSXcNidbYYmMuA,2021-04-07T20:50:21Z,/experiment/tangram_J.png,7,1,19,2,"{""text"":""This looks like a big square that had something cut out of it on the right side. There is a diamond in the middle."",""playerId"":""ZZ2uFm5b7CT93ysvK"",""target"":""/experiment/tangram_J.png"",""role"":""speaker""}",1,ZZ2uFm5b7CT93ysvK,true,/experiment/tangram_J.png,true,22097,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
