_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.tangramURLs,data.roleList,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.timeClick,data.exitTimeoutId,data.exited
EbD5gBfPTjhw9M2nM,,,,,,2021-05-07T19:13:35Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T18:57:24Z,,,,,,,,,,,
bWivtApbDfuWzQkbQ,,2021-05-07T19:01:28Z,,,,2021-05-07T19:45:53Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-05-07T18:57:32Z,"/experiment/tangram_L.png,/experiment/tangram_J.png,/experiment/tangram_E.png,/experiment/tangram_D.png,/experiment/tangram_K.png,/experiment/tangram_C.png,/experiment/tangram_I.png,/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_A.png,/experiment/tangram_B.png,/experiment/tangram_G.png","speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Laju,/avatars/jdenticon/Katherine,#3D45B7,1.8266666666666678,listener,/experiment/tangram_A.png,47779,409,true
Dx3DhmwRXm2egBD2w,,,,,,2021-05-07T19:13:35Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T18:57:38Z,,,,,,,,,,,
8xnowrWZSRfnTBKrT,,2021-05-07T19:04:38Z,,,ExitSurvey,2021-05-07T20:42:30Z,finished,,,,2021-05-07T18:57:45Z,"/experiment/tangram_K.png,/experiment/tangram_I.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_D.png,/experiment/tangram_G.png,/experiment/tangram_J.png,/experiment/tangram_A.png,/experiment/tangram_L.png,/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_C.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,2.426666666666668,listener,/experiment/tangram_K.png,48934,,
TFvBbKSS8eN9KxxHD,,2021-05-07T19:08:01Z,,,ExitSurvey,2021-05-07T20:44:00Z,finished,,,,2021-05-07T18:58:10Z,"/experiment/tangram_J.png,/experiment/tangram_G.png,/experiment/tangram_K.png,/experiment/tangram_C.png,/experiment/tangram_H.png,/experiment/tangram_B.png,/experiment/tangram_I.png,/experiment/tangram_L.png,/experiment/tangram_E.png,/experiment/tangram_D.png,/experiment/tangram_F.png,/experiment/tangram_A.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,2.826666666666668,listener,/experiment/tangram_J.png,71668,,
zgk9XQZah5mGjpGhJ,,2021-05-07T19:02:40Z,,,ExitSurvey,2021-05-07T20:16:03Z,finished,,,,2021-05-07T18:58:20Z,"/experiment/tangram_B.png,/experiment/tangram_G.png,/experiment/tangram_A.png,/experiment/tangram_L.png,/experiment/tangram_F.png,/experiment/tangram_K.png,/experiment/tangram_C.png,/experiment/tangram_J.png,/experiment/tangram_H.png,/experiment/tangram_D.png,/experiment/tangram_E.png,/experiment/tangram_I.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Hera,/avatars/jdenticon/Riley,#997E32,2.8800000000000017,listener,/experiment/tangram_A.png,8619,,
ygksyaWhRd4xPCE6F,,2021-05-07T19:02:02Z,,,,2021-05-07T19:45:36Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-05-07T18:58:33Z,"/experiment/tangram_K.png,/experiment/tangram_E.png,/experiment/tangram_A.png,/experiment/tangram_J.png,/experiment/tangram_H.png,/experiment/tangram_B.png,/experiment/tangram_G.png,/experiment/tangram_C.png,/experiment/tangram_F.png,/experiment/tangram_D.png,/experiment/tangram_L.png,/experiment/tangram_I.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Hera,/avatars/jdenticon/Riley,#997E32,1.5466666666666673,listener,/experiment/tangram_A.png,22334,29059,true
KkT9XAqwc7NzTdDSE,,2021-05-07T19:05:58Z,,,ExitSurvey,2021-05-07T20:19:52Z,finished,,,,2021-05-07T18:59:22Z,"/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_F.png,/experiment/tangram_A.png,/experiment/tangram_J.png,/experiment/tangram_L.png,/experiment/tangram_E.png,/experiment/tangram_C.png,/experiment/tangram_G.png,/experiment/tangram_I.png,/experiment/tangram_D.png,/experiment/tangram_H.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,2.7466666666666684,listener,/experiment/tangram_J.png,25445,,
rQQgejQgtheEwqMBT,,2021-05-07T19:08:10Z,,,ExitSurvey,2021-05-07T20:44:00Z,finished,,,,2021-05-07T18:59:54Z,"/experiment/tangram_G.png,/experiment/tangram_I.png,/experiment/tangram_L.png,/experiment/tangram_E.png,/experiment/tangram_C.png,/experiment/tangram_F.png,/experiment/tangram_B.png,/experiment/tangram_A.png,/experiment/tangram_D.png,/experiment/tangram_J.png,/experiment/tangram_K.png,/experiment/tangram_H.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Hera,/avatars/jdenticon/Riley,#997E32,2.7733333333333348,listener,/experiment/tangram_J.png,34822,,
uCwT2ve8pCX7fjkss,,2021-05-07T19:05:16Z,,,ExitSurvey,2021-05-07T20:19:52Z,finished,,,,2021-05-07T19:00:06Z,"/experiment/tangram_I.png,/experiment/tangram_C.png,/experiment/tangram_K.png,/experiment/tangram_G.png,/experiment/tangram_A.png,/experiment/tangram_B.png,/experiment/tangram_L.png,/experiment/tangram_D.png,/experiment/tangram_J.png,/experiment/tangram_E.png,/experiment/tangram_H.png,/experiment/tangram_F.png","speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Hera,/avatars/jdenticon/Riley,#997E32,2.653333333333335,listener,/experiment/tangram_J.png,22639,,
