id,bonus
5f9015fd98f35904fc371184,5.64
5eea62dd80fc2115fd5770b6,5.63
607acf12ffeaba52ee91a2de,5.71
5d8e4c3027fdac00178fd72e,5.55
60908b7627b515be9cba1822,5.52
5cee2bb22e4f1700012a9e9c,5.65
5c5a060fcb75f20001e60f78,5.56
6091a9882d1dbdad61a65ddc,5.75
5ed193f07a20010f3b111f8f,5.59
5f3d3ea5f7735207dbcb6904,5.77
607762af3bda98953a914f23,5.65
590a3c659e26f200016e144b,5.67
606f4d25ce8ac25c79b03915,5.76
60670ac0fc7e169231369ab1,5.68
608b47f65c8859645d0a0b23,5.76
563e7256cbd4c60005dc91a0,5.64
